keyword,search_volume,competition,low_top_of_page_bid,high_top_of_page_bid,cpc,2025_09,2025_08,2025_07,2025_06,2025_05,2025_04,2025_03,2025_02,2025_01,2024_12,2024_11,2024_10,growth_slope,growth_r2,growth_consistency,growth_stability,sustained_growth_score,yoy_trend_%,3month_trend_%
referral software,1300.0,34.0,4.87,32.98,26.1,720.0,880.0,5400.0,4400.0,720.0,720.0,720.0,590.0,720.0,590.0,880.0,880.0,-153.65811380792033,0.14045507826367765,0.2727272727272727,0.25656527745238966,-0.0009623428762808542,22.22222222222222,49.152542372881356
engine parts online,260.0,97.0,0.06,0.47,0.45,880.0,390.0,390.0,210.0,260.0,140.0,210.0,170.0,390.0,110.0,140.0,170.0,-25.701945216876133,0.7360028967003078,0.09090909090909091,0.21637871339793735,-0.0010291629093774493,-80.68181818181817,54.54545454545454
mass casualty kit,140.0,71.0,0.42,3.51,1.61,210.0,140.0,170.0,170.0,140.0,140.0,140.0,110.0,110.0,70.0,140.0,110.0,-6.108847163897008,0.9023103363779151,0.2727272727272727,0.5544436082706905,-0.005595178989479517,-47.61904761904761,57.14285714285714
seafood subscription,140.0,100.0,2.78,8.41,9.37,110.0,110.0,110.0,210.0,140.0,140.0,110.0,110.0,170.0,260.0,140.0,140.0,4.42759002725341,0.6066499578967366,0.2727272727272727,0.8926187440594989,0.004705993819980434,27.27272727272727,-46.15384615384615
technology consulting,49500.0,17.0,0.29,9.96,4.06,27100.0,22200.0,27100.0,22200.0,49500.0,60500.0,74000.0,49500.0,49500.0,60500.0,60500.0,74000.0,3271.8107436097466,0.8918558752274112,0.6363636363636364,1.0,0.044204667138953456,173.06273062730628,22.31404958677686
disaster response kit,40.0,99.0,0.52,3.76,2.3,50.0,40.0,50.0,40.0,30.0,50.0,40.0,40.0,50.0,20.0,30.0,70.0,-0.020366355010300326,0.35757957964890963,0.36363636363636365,0.906986120080353,-5.6465434594987156e-05,40.0,250.0
faith candles,170.0,97.0,0.26,1.99,2.76,170.0,140.0,90.0,110.0,110.0,140.0,140.0,140.0,170.0,320.0,210.0,170.0,10.806940639994016,0.2957145834724939,0.5454545454545454,0.9517753470419916,0.011045686607876075,0.0,-46.875
lowcode platforms,14800.0,23.0,0.82,13.23,8.32,14800.0,9900.0,9900.0,9900.0,12100.0,18100.0,22200.0,12100.0,12100.0,12100.0,14800.0,14800.0,104.56177378537693,0.1770731581102999,0.45454545454545453,0.8666117924623926,0.0005476464603735475,0.0,22.31404958677686
adult toys online,246000.0,83.0,0.07,2.28,0.55,246000.0,246000.0,201000.0,246000.0,301000.0,246000.0,301000.0,246000.0,246000.0,246000.0,301000.0,301000.0,3773.915760110858,0.5664036387383875,0.45454545454545453,1.0,0.0038222230645165818,22.35772357723577,22.35772357723577
pollution display,9900.0,100.0,0.32,1.14,0.91,8100.0,6600.0,5400.0,5400.0,6600.0,6600.0,8100.0,9900.0,14800.0,18100.0,12100.0,8100.0,703.9091776910861,0.584510932063071,0.5454545454545454,0.8852994552264326,0.0235836101804494,0.0,-55.24861878453039
temperature mug price,210.0,42.0,1.24,9.01,7.72,210.0,110.0,90.0,110.0,210.0,140.0,720.0,590.0,320.0,90.0,90.0,170.0,-5.85858767568392,0.27196048482561674,0.2727272727272727,0.5124060535756241,-0.0009621509953129625,-19.047619047619047,88.88888888888889
football coaching program,246000.0,9.0,0.16,1.72,1.29,301000.0,201000.0,201000.0,201000.0,301000.0,368000.0,301000.0,301000.0,246000.0,246000.0,301000.0,301000.0,2537.5194565711095,0.1722073921116325,0.5454545454545454,0.9489032894519525,0.0008445247445900033,0.0,22.35772357723577
personalized family letter,2900.0,6.0,1.48,3.76,5.87,140.0,70.0,90.0,110.0,140.0,210.0,110.0,140.0,140.0,140.0,2900.0,33100.0,1412.405686733151,0.26701179020810495,0.7272727272727273,1.0,0.2535330272223267,23542.85714285714,23542.85714285714
type design software,22200.0,15.0,1.07,12.79,6.59,60500.0,74000.0,49500.0,33100.0,8100.0,8100.0,12100.0,6600.0,5400.0,4400.0,4400.0,4400.0,-4104.622545786807,0.9125859003443041,0.09090909090909091,0.10631538208196162,-0.0011596471539248715,-92.72727272727272,0.0
recovery program,590.0,52.0,2.57,11.67,9.08,590.0,320.0,390.0,480.0,480.0,590.0,590.0,590.0,590.0,590.0,590.0,720.0,18.20972927447547,0.4356917526755686,0.8181818181818182,1.0,0.012496486187605212,22.033898305084744,22.033898305084744
prince phone cover,12100.0,100.0,0.46,2.27,1.31,12100.0,12100.0,12100.0,12100.0,12100.0,9900.0,12100.0,8100.0,9900.0,12100.0,12100.0,9900.0,-81.80327072670403,0.6552131769238629,0.2727272727272727,0.8950642198449148,-0.001144722985397349,-18.181818181818183,-18.181818181818183
palace hotel stay,18100.0,28.0,0.06,0.21,0.63,22200.0,22200.0,22200.0,18100.0,18100.0,18100.0,18100.0,18100.0,18100.0,18100.0,14800.0,14800.0,-506.94739020058466,0.9412759140443617,0.0,0.7434056009173178,-0.0,-33.33333333333333,-18.23204419889503
office lunch,10.0,69.0,0.15,0.95,0.68,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,-0.00044628395748110163,0.32746746557722795,0.09090909090909091,0.8139257731487863,-1.0085403786076438e-06,0.0,0.0
offer on land,40.0,63.0,0.45,11.61,8.34,50.0,50.0,50.0,50.0,50.0,40.0,40.0,40.0,50.0,30.0,30.0,40.0,-1.5162796821309577,0.8762571480666475,0.18181818181818182,0.762361639198167,-0.004053511482918359,-20.0,33.33333333333333
freemium tools,110.0,57.0,0.32,1.02,0.44,170.0,110.0,90.0,90.0,70.0,70.0,90.0,90.0,70.0,50.0,90.0,260.0,3.929918249865404,0.3293052931927122,0.36363636363636365,0.7829565853140104,0.003567402333125014,52.94117647058824,420.0
prison decor,33100.0,9.0,0.04,0.53,1.31,27100.0,49500.0,18100.0,27100.0,18100.0,12100.0,14800.0,18100.0,49500.0,60500.0,14800.0,90500.0,3444.4484256240116,0.06851024389018467,0.36363636363636365,1.0,0.002893048795497232,233.94833948339482,49.586776859504134
payment processing service,40500.0,16.0,0.55,9.0,6.14,49500.0,33100.0,33100.0,33100.0,33100.0,40500.0,74000.0,33100.0,27100.0,27100.0,33100.0,49500.0,-421.4750061172467,0.08088855387771954,0.2727272727272727,0.7883488855496323,-0.0001862819354082818,0.0,82.65682656826569
fence installation,246000.0,100.0,0.16,0.99,1.05,135000.0,110000.0,110000.0,301000.0,165000.0,135000.0,135000.0,135000.0,135000.0,1220000.0,550000.0,201000.0,46672.34660109117,0.571620039720543,0.2727272727272727,0.8183339756153656,0.02610861214482395,48.888888888888886,-83.52459016393443
dad gifts,260.0,100.0,0.08,1.2,0.73,210.0,260.0,390.0,260.0,260.0,260.0,210.0,210.0,170.0,170.0,210.0,210.0,-8.610474656791062,0.29861003658364893,0.36363636363636365,0.6698241192617032,-0.00257438878307528,0.0,23.52941176470588
atmosphere diffuser,140.0,50.0,0.2,2.36,1.08,90.0,320.0,90.0,90.0,110.0,140.0,140.0,140.0,140.0,90.0,110.0,210.0,0.18546462709614997,0.05112441108980781,0.5454545454545454,0.6500699089820106,2.4254008418792317e-05,133.33333333333331,133.33333333333331
economy airfares,165000.0,64.0,0.09,5.7,10.36,74000.0,110000.0,135000.0,74000.0,60500.0,49500.0,74000.0,110000.0,301000.0,673000.0,74000.0,135000.0,20586.390211882048,0.5064347133050555,0.5454545454545454,0.6643382136156025,0.02818625377902429,82.43243243243244,-79.9405646359584
online degrees,1600.0,7.0,4.48,36.22,30.83,1300.0,1000.0,1300.0,1300.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1900.0,41.118509075096725,0.8696097370608864,0.9090909090909091,1.0,0.022824215754446285,46.15384615384615,18.75
request quotes,33100.0,29.0,7.67,43.82,38.93,4400.0,4400.0,5400.0,4400.0,5400.0,22200.0,246000.0,49500.0,22200.0,2900.0,3600.0,3600.0,-2385.6024107849958,0.2685144613410356,0.36363636363636365,0.2501940347453299,-0.002000064051317059,-18.181818181818183,24.137931034482758
identity protection service,40500.0,36.0,0.06,4.44,3.05,14800.0,14800.0,18100.0,27100.0,33100.0,33100.0,33100.0,60500.0,74000.0,60500.0,90500.0,60500.0,5811.272183483229,0.941093954248057,0.8181818181818182,0.9800445522791337,0.12525980710744605,308.78378378378375,0.0
kitchen damage restoration,1500000.0,50.0,5.69,59.7,47.32,1500000.0,1500000.0,1830000.0,1500000.0,1500000.0,1500000.0,1500000.0,1000000.0,1500000.0,1000000.0,1830000.0,2240000.0,22344.705612887712,0.07492133729523798,0.36363636363636365,1.0,0.0004049464331216844,49.333333333333336,124.0
source data cleansing,260.0,5.0,1.12,4.0,8.32,590.0,480.0,140.0,590.0,260.0,260.0,210.0,170.0,140.0,140.0,110.0,140.0,-30.280089635471892,0.9119512703096019,0.09090909090909091,0.2715309283852771,-0.0020863352964111525,-76.27118644067797,0.0
knowledge training program,170.0,100.0,0.27,1.08,0.48,140.0,140.0,70.0,110.0,90.0,90.0,140.0,140.0,210.0,390.0,320.0,140.0,18.62050004931114,0.48336044284436386,0.5454545454545454,0.86427209559666,0.02873001012444579,0.0,-64.1025641025641
bread baking set,246000.0,21.0,0.08,1.62,3.4,246000.0,201000.0,165000.0,246000.0,301000.0,301000.0,301000.0,201000.0,201000.0,301000.0,165000.0,165000.0,-5381.374292843011,0.016001770260792192,0.45454545454545453,0.7561227737481276,-0.00012483446416704791,-32.926829268292686,-45.182724252491695
tree service,33100.0,12.0,0.05,0.27,0.34,27100.0,27100.0,33100.0,33100.0,33100.0,40500.0,33100.0,33100.0,40500.0,40500.0,40500.0,49500.0,1375.4401019848274,0.9511969235931156,0.7272727272727273,1.0,0.02831706348012362,82.65682656826569,22.22222222222222
chest massager,246000.0,100.0,0.42,4.26,3.17,201000.0,201000.0,201000.0,201000.0,201000.0,201000.0,246000.0,246000.0,246000.0,246000.0,246000.0,301000.0,7160.944958867911,0.8528677546073598,0.5454545454545454,1.0,0.01530301873798131,49.75124378109453,22.35772357723577
lady beauty box,27100.0,91.0,0.08,0.67,0.39,27100.0,27100.0,33100.0,33100.0,27100.0,33100.0,22200.0,22200.0,22200.0,22200.0,27100.0,27100.0,-470.53228384612254,0.3852518642785612,0.45454545454545453,0.8238384175935617,-0.002472044237978415,0.0,22.07207207207207
range extender,12100.0,3.0,0.04,0.76,0.55,12100.0,12100.0,14800.0,12100.0,12100.0,12100.0,12100.0,12100.0,14800.0,12100.0,12100.0,14800.0,88.69052633239781,0.13692360035234574,0.2727272727272727,0.9927522604303488,0.0002604115099992984,22.31404958677686,22.31404958677686
legacy letter service,590.0,2.0,0.28,2.91,3.88,720.0,480.0,590.0,480.0,590.0,590.0,720.0,720.0,720.0,480.0,720.0,880.0,15.575364066870703,0.1377369159747185,0.7272727272727273,0.9960024494691688,0.0024946860150769795,22.22222222222222,83.33333333333334
beauty results,14800.0,88.0,0.03,0.67,0.82,40500.0,33100.0,27100.0,9900.0,9900.0,8100.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0,-1391.2770457357392,0.8324479453505607,0.0,0.25753465500416006,-0.0,-75.55555555555556,0.0
beauty routine,201000.0,18.0,0.42,4.15,1.1,165000.0,201000.0,201000.0,201000.0,201000.0,246000.0,301000.0,246000.0,246000.0,301000.0,201000.0,201000.0,2510.947063433093,0.785756787494417,0.8181818181818182,0.8797743798907739,0.00650817522247466,21.818181818181817,-33.222591362126245
passage analysis tool,246000.0,0.0,0.07,0.79,0.34,246000.0,246000.0,246000.0,246000.0,246000.0,246000.0,246000.0,246000.0,246000.0,201000.0,246000.0,301000.0,921.922558483653,0.025616975519839658,0.18181818181818182,1.0,1.7535434555351698e-05,22.35772357723577,49.75124378109453
prioritization,27100.0,36.0,0.29,2.15,2.11,22200.0,27100.0,27100.0,27100.0,33100.0,27100.0,33100.0,27100.0,33100.0,33100.0,27100.0,33100.0,419.4759822180116,0.835578193046552,0.7272727272727273,0.9916090646541942,0.008980263389396217,49.0990990990991,0.0
distance education,6600.0,79.0,0.21,2.34,1.13,5400.0,5400.0,6600.0,5400.0,5400.0,5400.0,8100.0,6600.0,8100.0,5400.0,5400.0,6600.0,33.7113669621162,0.5614858772440863,0.45454545454545453,0.9027663959284115,0.0012884622962348726,22.22222222222222,22.22222222222222
commercial vehicle sale,49500.0,65.0,0.03,1.04,0.52,49500.0,49500.0,49500.0,40500.0,40500.0,40500.0,40500.0,40500.0,40500.0,49500.0,40500.0,49500.0,69.06676611477828,0.5446298964106475,0.18181818181818182,0.9054833325699096,0.0001382758438941338,0.0,0.0
agricultural drones,320.0,10.0,0.62,6.98,9.16,320.0,140.0,210.0,590.0,320.0,320.0,320.0,390.0,260.0,210.0,260.0,210.0,-10.113979532246935,0.003425706816344354,0.18181818181818182,0.7140890750757405,-1.4910543267139172e-05,-34.375,0.0
document reader review,5400.0,27.0,1.08,4.97,4.62,5400.0,5400.0,8100.0,8100.0,6600.0,6600.0,6600.0,4400.0,3600.0,2900.0,3600.0,3600.0,-388.72877898682015,0.34880503110635985,0.18181818181818182,0.5616213355950281,-0.00239474847503328,-33.33333333333333,24.137931034482758
investigation cost,49500.0,92.0,0.14,0.9,0.51,49500.0,60500.0,49500.0,49500.0,49500.0,49500.0,60500.0,49500.0,49500.0,60500.0,60500.0,49500.0,436.7575369826892,0.16430405678474125,0.36363636363636365,0.9638887338820625,0.00047647430283754064,0.0,-18.181818181818183
power drill,135000.0,100.0,0.25,2.5,0.84,135000.0,135000.0,110000.0,110000.0,135000.0,135000.0,165000.0,165000.0,165000.0,165000.0,165000.0,201000.0,5702.546766275064,0.7058762299228515,0.7272727272727273,1.0,0.0207416250855015,48.888888888888886,21.818181818181817
lee jeans,27100.0,95.0,0.02,0.67,0.37,27100.0,27100.0,33100.0,33100.0,27100.0,27100.0,22200.0,22200.0,27100.0,27100.0,27100.0,22200.0,-377.34120907234313,0.367766475819462,0.45454545454545453,0.8089420776591192,-0.0018600629095379914,-18.081180811808117,-18.081180811808117
democratic governance tools,70.0,64.0,0.71,1.37,1.21,70.0,70.0,70.0,70.0,90.0,70.0,90.0,50.0,70.0,50.0,50.0,70.0,-1.8990402609577561,0.2518525850387334,0.2727272727272727,0.7878200646178392,-0.0014704228638753047,0.0,40.0
sea craft kits,1600.0,24.0,0.07,1.79,1.79,2400.0,1900.0,2400.0,1600.0,1900.0,1600.0,1600.0,1300.0,1300.0,1300.0,1600.0,1900.0,-43.489504585798805,0.8772430164177876,0.2727272727272727,0.6741898024261153,-0.0038313786577034875,-20.833333333333336,46.15384615384615
business risk assessment,210.0,32.0,0.29,3.99,4.96,170.0,170.0,170.0,260.0,260.0,260.0,260.0,170.0,260.0,210.0,320.0,260.0,6.391407900804981,0.7734135284433206,0.6363636363636364,1.0,0.014445709736491202,52.94117647058824,23.809523809523807
generation coaching,50.0,46.0,0.2,0.86,0.57,50.0,50.0,50.0,50.0,40.0,40.0,50.0,30.0,50.0,40.0,50.0,40.0,-0.3441138414635701,0.6962700560459084,0.2727272727272727,0.8679602012231675,-0.0012320399092591303,-20.0,0.0
tony charger,110.0,20.0,2.94,11.04,12.43,110.0,90.0,140.0,90.0,70.0,110.0,170.0,110.0,140.0,90.0,140.0,110.0,1.39189408633209,0.32359516140382916,0.45454545454545453,0.9467976344416894,0.0017294892059436975,0.0,22.22222222222222
community building tools,49500.0,6.0,0.2,6.7,5.22,60500.0,40500.0,33100.0,49500.0,40500.0,60500.0,60500.0,49500.0,49500.0,40500.0,49500.0,60500.0,339.4816551296557,0.00035449687486910353,0.45454545454545453,0.8598823092811501,9.541409602416105e-07,0.0,49.382716049382715
sequence optimization service,450000.0,100.0,0.02,1.11,0.35,368000.0,450000.0,450000.0,368000.0,368000.0,368000.0,450000.0,368000.0,450000.0,450000.0,450000.0,450000.0,5949.393045110769,0.2821093154806472,0.6363636363636364,1.0,0.0026146402313726763,22.282608695652172,0.0
executive bedroom furniture,110000.0,100.0,0.19,0.79,0.8,74000.0,74000.0,74000.0,74000.0,90500.0,90500.0,90500.0,110000.0,165000.0,165000.0,110000.0,165000.0,8020.029340971456,0.8610721372280874,0.6363636363636364,1.0,0.0459692968203622,122.97297297297298,0.0
patient support,27100.0,98.0,0.15,0.73,0.44,22200.0,33100.0,40500.0,40500.0,49500.0,33100.0,27100.0,22200.0,14800.0,9900.0,12100.0,18100.0,-2604.1335039160917,0.24956523763182903,0.36363636363636365,0.4402923892102837,-0.0035709228117510733,-18.46846846846847,82.82828282828282
lawn mower blades,74000.0,14.0,0.03,0.24,0.21,40500.0,60500.0,40500.0,40500.0,60500.0,90500.0,74000.0,74000.0,110000.0,60500.0,135000.0,135000.0,7187.748589707471,0.8931835857616454,0.7272727272727273,1.0,0.07074238657649205,233.33333333333334,123.14049586776858
luxury accommodation,5400.0,0.0,0.03,1.73,0.03,5400.0,5400.0,6600.0,5400.0,5400.0,5400.0,5400.0,5400.0,6600.0,5400.0,5400.0,6600.0,39.41801170328768,0.13692360035234608,0.2727272727272727,0.9927793388370524,0.00025939139942053087,22.22222222222222,22.22222222222222
amount due,8100.0,100.0,0.12,3.62,1.8,8100.0,8100.0,8100.0,8100.0,8100.0,9900.0,9900.0,8100.0,8100.0,8100.0,8100.0,8100.0,-43.02690405101429,0.1644837970556846,0.18181818181818182,0.9072641197824932,-0.00013916257869689557,0.0,0.0
drinking water filters,260.0,64.0,0.2,1.09,0.53,320.0,260.0,260.0,210.0,260.0,210.0,260.0,260.0,260.0,320.0,260.0,260.0,2.092900000048062,0.15518246394058843,0.45454545454545453,0.8332448341566874,0.0004648590604379989,-18.75,-18.75
trade settlement software,110000.0,90.0,0.23,1.56,0.61,135000.0,135000.0,135000.0,110000.0,135000.0,90500.0,90500.0,90500.0,110000.0,90500.0,110000.0,90500.0,-2770.850430596119,0.8962531973402527,0.2727272727272727,0.7358546759289538,-0.00429841376043931,-32.96296296296296,0.0
led light bulbs,4400.0,5.0,0.61,5.34,3.4,5400.0,3600.0,4400.0,3600.0,3600.0,4400.0,5400.0,5400.0,6600.0,5400.0,4400.0,2400.0,-8.580483970700847,0.058453769415965695,0.5454545454545454,0.7887847135692707,-4.666859631452117e-05,-55.55555555555556,-55.55555555555556
pregnancy doctor,40500.0,9.0,0.12,2.17,1.69,27100.0,33100.0,33100.0,22200.0,33100.0,40500.0,40500.0,40500.0,49500.0,27100.0,40500.0,74000.0,2107.465990629866,0.775962425275891,0.8181818181818182,1.0,0.03836919604956564,173.06273062730628,173.06273062730628
capital investment,22200.0,30.0,0.43,3.77,3.28,14800.0,14800.0,22200.0,18100.0,27100.0,40500.0,40500.0,18100.0,22200.0,22200.0,22200.0,27100.0,44.008837078106694,0.4878573363908776,0.45454545454545453,0.7787806391862578,0.0003324748615319852,83.1081081081081,22.07207207207207
writing course,14800.0,59.0,0.23,1.34,0.99,14800.0,12100.0,12100.0,14800.0,14800.0,12100.0,14800.0,14800.0,14800.0,18100.0,14800.0,14800.0,235.08999422923213,0.4434283285620152,0.5454545454545454,0.9765825037972372,0.003924177920729494,0.0,-18.23204419889503
personal care products,40500.0,100.0,0.14,0.8,0.43,40500.0,40500.0,40500.0,40500.0,33100.0,33100.0,40500.0,40500.0,40500.0,49500.0,49500.0,49500.0,1208.4740821369398,0.22351278387817564,0.5454545454545454,1.0,0.0036506718314053156,22.22222222222222,0.0
usb mic,301000.0,100.0,0.26,1.36,0.6,246000.0,246000.0,246000.0,246000.0,246000.0,246000.0,301000.0,301000.0,368000.0,368000.0,368000.0,301000.0,11512.490691621475,0.8215292532106694,0.45454545454545453,0.9670309776496395,0.015078289197337013,22.35772357723577,-18.206521739130434
room dividers,12100.0,100.0,0.28,0.94,0.52,8100.0,9900.0,9900.0,8100.0,8100.0,6600.0,6600.0,8100.0,8100.0,18100.0,22200.0,33100.0,1798.2744807182478,0.3803610828039621,0.6363636363636364,1.0,0.04322496531364574,308.641975308642,82.87292817679558
friendship bracelet kit,260.0,27.0,0.09,0.51,0.67,590.0,880.0,40.0,70.0,140.0,140.0,140.0,170.0,170.0,170.0,390.0,210.0,-6.35735761153291,0.5545697094528164,0.18181818181818182,0.3036277469565631,-0.0006328962521429709,-64.40677966101694,23.52941176470588
lunch catering service,201000.0,67.0,0.07,0.74,0.78,201000.0,201000.0,201000.0,165000.0,165000.0,165000.0,165000.0,165000.0,201000.0,246000.0,201000.0,201000.0,3431.6701081880437,0.007784804103068921,0.36363636363636365,0.9970947621566834,5.136700029101704e-05,0.0,-18.29268292682927
back massager,550000.0,100.0,0.16,1.02,0.54,450000.0,450000.0,450000.0,450000.0,450000.0,368000.0,450000.0,368000.0,550000.0,1000000.0,823000.0,550000.0,36715.26274553049,0.490946365236952,0.36363636363636365,0.9403467744148785,0.012495073683233151,22.22222222222222,-45.0
shoulder pain relief,2900.0,45.0,0.47,20.57,17.6,2400.0,2400.0,3600.0,2400.0,1900.0,2400.0,2900.0,2900.0,3600.0,2900.0,3600.0,3600.0,106.06434492905568,0.5672931178679884,0.5454545454545454,1.0,0.011957667269548364,50.0,24.137931034482758
course creation,33100.0,0.0,0.02,0.98,0.26,33100.0,33100.0,27100.0,27100.0,33100.0,33100.0,33100.0,27100.0,33100.0,27100.0,33100.0,33100.0,63.39448272188318,0.08539582134040646,0.5454545454545454,0.9543352243935354,9.050012586760733e-05,0.0,22.14022140221402
experimentation,27100.0,6.0,0.16,2.39,4.63,22200.0,27100.0,27100.0,49500.0,27100.0,22200.0,27100.0,22200.0,27100.0,18100.0,27100.0,33100.0,-262.81299107392846,0.004990091745743386,0.5454545454545454,0.7770401458070489,-2.0376651008777637e-05,49.0990990990991,82.87292817679558
climate action,40500.0,14.0,1.47,27.14,15.54,40500.0,33100.0,40500.0,40500.0,40500.0,40500.0,40500.0,40500.0,40500.0,40500.0,60500.0,60500.0,1738.8816619159418,0.5544909781338894,0.9090909090909091,1.0,0.021394939519139417,49.382716049382715,49.382716049382715
ice delivery membership,2900.0,4.0,0.24,6.82,2.57,2400.0,2400.0,2400.0,2400.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,2900.0,39.197923428670705,0.907525444968992,0.7272727272727273,1.0,0.00974322683150696,20.833333333333336,0.0
quarterly sale,480.0,100.0,0.81,10.51,8.87,210.0,170.0,140.0,170.0,210.0,1600.0,1000.0,320.0,260.0,260.0,590.0,590.0,7.460871543224637,0.4036975929259302,0.5454545454545454,0.6658073335060491,0.002663708366454626,180.95238095238096,126.92307692307692
campaign merch,27100.0,100.0,0.18,0.89,0.68,18100.0,18100.0,18100.0,14800.0,18100.0,18100.0,18100.0,18100.0,60500.0,60500.0,49500.0,27100.0,3395.794466468194,0.664406615527912,0.6363636363636364,0.8872056979936879,0.05195934854210273,49.72375690607735,-55.20661157024793
boy farming kit,18100.0,78.0,0.29,3.79,2.48,18100.0,14800.0,18100.0,14800.0,18100.0,18100.0,18100.0,14800.0,18100.0,18100.0,18100.0,27100.0,481.02352931071505,0.26799569291367586,0.7272727272727273,1.0,0.005395759497814582,49.72375690607735,49.72375690607735
polypropylene bags,40500.0,0.0,0.05,0.51,1.47,49500.0,33100.0,27100.0,33100.0,40500.0,40500.0,40500.0,40500.0,40500.0,33100.0,40500.0,40500.0,147.14437326471443,0.03861133578989473,0.6363636363636364,0.7897617454584965,7.396170162853453e-05,-18.181818181818183,22.356495468277945
feedback loops,12100.0,10.0,0.44,3.99,2.96,14800.0,12100.0,14800.0,12100.0,12100.0,12100.0,14800.0,12100.0,12100.0,12100.0,12100.0,14800.0,-26.610744465641083,0.4908187347187468,0.2727272727272727,0.8857299050493977,-0.00024056312084250582,0.0,22.31404958677686
licence exam prep,33100.0,3.0,0.07,1.84,2.5,33100.0,33100.0,27100.0,27100.0,27100.0,27100.0,27100.0,27100.0,27100.0,27100.0,40500.0,49500.0,1182.9727029875603,0.0010051833888378159,0.18181818181818182,1.0,7.208759339638165e-06,49.546827794561935,82.65682656826569
scripting,27100.0,1.0,0.11,1.62,1.37,27100.0,22200.0,27100.0,27100.0,27100.0,27100.0,27100.0,22200.0,27100.0,22200.0,22200.0,22200.0,-432.0985718257,0.2981365277236775,0.5454545454545454,0.8647788874577302,-0.0023794371216099646,-18.081180811808117,0.0
meditation focus,3600.0,23.0,0.53,10.15,16.01,2900.0,2900.0,2400.0,3600.0,4400.0,4400.0,4400.0,2900.0,4400.0,3600.0,2900.0,4400.0,31.207535475577124,0.5965897580092294,0.5454545454545454,0.9447026856119795,0.002771150665135845,51.724137931034484,22.22222222222222
law firm software,5400.0,100.0,0.34,2.03,1.06,3600.0,4400.0,5400.0,6600.0,8100.0,8100.0,8100.0,3600.0,3600.0,2400.0,3600.0,4400.0,-296.2635169258617,0.0034396623076792254,0.6363636363636364,0.5787374763322815,-7.161864758580416e-05,22.22222222222222,83.33333333333334
john credit report,1600.0,8.0,1.62,11.86,12.33,1600.0,1000.0,1000.0,1300.0,1600.0,1900.0,1900.0,1600.0,1300.0,1000.0,1300.0,1600.0,-10.916837213170831,0.055156502489769776,0.45454545454545453,0.8612491378329875,-0.00016623847987851757,0.0,60.0
real time feedback,1600.0,36.0,2.1,27.69,19.1,1300.0,1300.0,1600.0,1300.0,1600.0,1900.0,1900.0,1600.0,1900.0,1600.0,1900.0,2400.0,58.02799214483234,0.920406483052468,0.6363636363636364,1.0,0.02143724625149171,84.61538461538461,50.0
email sequences,135000.0,38.0,0.09,0.87,1.72,135000.0,135000.0,110000.0,135000.0,165000.0,135000.0,135000.0,110000.0,110000.0,110000.0,110000.0,135000.0,-2070.895858920611,0.3703953326458532,0.2727272727272727,0.8625114680520883,-0.0013974395868268253,0.0,22.727272727272727
couples sex toys,2400.0,100.0,0.8,5.61,4.34,2400.0,2400.0,2400.0,1900.0,2400.0,2400.0,2900.0,2400.0,2900.0,2900.0,3600.0,2900.0,93.29422670673512,0.6689438017351355,0.5454545454545454,0.9924802300044093,0.01342357067176589,20.833333333333336,0.0
custom bottle labels,8100.0,0.0,0.26,1.16,0.95,9900.0,9900.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,-72.36313457741336,0.7527763509200582,0.0,0.8208378976863416,-0.0,-18.181818181818183,0.0
gun lock,74000.0,36.0,0.14,2.32,2.66,60500.0,74000.0,90500.0,90500.0,74000.0,74000.0,74000.0,74000.0,90500.0,90500.0,74000.0,90500.0,967.8997651700971,0.47468143254301876,0.5454545454545454,1.0,0.0032369647583582093,49.586776859504134,0.0
first class flights,3600.0,100.0,0.76,3.61,3.54,4400.0,2900.0,2900.0,2900.0,2900.0,3600.0,4400.0,4400.0,4400.0,2900.0,3600.0,3600.0,19.3359100316165,0.012157905687973258,0.36363636363636365,0.8270130679978198,1.9737396011069102e-05,-18.181818181818183,24.137931034482758
museum display case,70.0,14.0,0.67,8.13,0.14,140.0,170.0,110.0,110.0,30.0,20.0,40.0,30.0,30.0,30.0,30.0,20.0,-8.392962216438201,0.904189962285381,0.09090909090909091,0.1989320616458617,-0.0016896603757353696,-85.71428571428571,-33.33333333333333
premium paper stock,4400.0,11.0,2.01,7.46,7.2,4400.0,4400.0,4400.0,4400.0,4400.0,4400.0,4400.0,4400.0,4400.0,3600.0,3600.0,3600.0,-85.99207804090172,0.5631183307403391,0.0,0.8788688434182168,-0.0,-18.181818181818183,0.0
obstetrician appointment,1300.0,11.0,1.17,10.44,8.63,1300.0,1900.0,2400.0,1000.0,1900.0,1900.0,1600.0,880.0,880.0,720.0,880.0,1000.0,-99.39911792482212,0.46518740263550484,0.36363636363636365,0.5133151653259203,-0.005874350861292396,-23.076923076923077,38.88888888888889
