keyword,search_volume,competition,low_top_of_page_bid,high_top_of_page_bid,cpc,2025_09,2025_08,2025_07,2025_06,2025_05,2025_04,2025_03,2025_02,2025_01,2024_12,2024_11,2024_10,growth_slope,growth_r2,growth_consistency,growth_stability,sustained_growth_score,yoy_trend_%,3month_trend_%,priority_score
cell phone,823000,83,0.09,2.3,1.53,823000,1000000,1000000,673000,673000,673000,1220000,673000,823000,673000,673000,823000,-12899.064778726377,0.3495897175238125,0.36363636363636365,0.8017277593546769,-0.0015869762405437183,0,22.288261515601786,5.91539983521227
avenue bedding,823000,78,0.07,0.95,0.5,1000000,823000,823000,673000,1000000,823000,673000,1000000,823000,673000,673000,673000,-18769.961102786892,0.6225087814364362,0.18181818181818182,0.7311942638193576,-0.0018565963831727627,-32.7,0,5.91539983521227
cellar dehumidifier,823000,1,0.07,9.25,5.85,2740000,1000000,673000,673000,823000,823000,673000,550000,673000,673000,673000,673000,-54461.89490670018,0.6222822652041917,0,0.2512357315875012,0,-75.43795620437956,0,5.91539983521227
car crash lawyer,823000,16,0.25,40.07,63.87,301000,368000,450000,1000000,1500000,1500000,1500000,1000000,823000,673000,673000,450000,-29651.15276269145,0.3778022892317765,0.5454545454545454,0.5868474266070466,-0.004405070882035566,49.501661129568106,-33.13521545319465,5.91539983521227
lawn mower,823000,100,0.17,1.15,0.62,673000,823000,1000000,1220000,1220000,1220000,823000,673000,450000,450000,450000,550000,-61594.13232410821,0.13348407018106512,0.45454545454545453,0.5195395808017776,-0.0023050234419501243,-18.27637444279346,22.22222222222222,5.91539983521227
transparency,823000,1,0.18,1.86,1.49,823000,1000000,1500000,1220000,1220000,1000000,550000,550000,673000,550000,673000,673000,-52551.20508542598,0.40382078510565855,0.36363636363636365,0.5698006750003236,-0.004748839279544327,-18.226002430133658,22.363636363636363,5.91539983521227
uplift desk,49500,100,0.75,4.76,2.32,40500,49500,49500,49500,49500,49500,60500,60500,60500,60500,60500,60500,1409.148399364556,0.9535050017618104,1,1,0.025978932498957132,49.382716049382715,0,5.914213514657052
concept2 rower,74000,100,0.35,2.05,1.93,60500,74000,60500,60500,74000,60500,74000,74000,110000,90500,110000,74000,3364.6237316184533,0.7762443074889915,0.6363636363636364,0.9389950245213917,0.021451389734925767,22.31404958677686,-18.23204419889503,5.913749593027097
consensus software,1000,53,4.69,22.37,9.11,390,320,390,320,390,390,320,390,1600,2900,4400,480,253.6803194795847,0.6065045833992238,0.6363636363636364,0.7584947263140702,0.09712342667180421,23.076923076923077,-83.44827586206897,5.913702800154126
hospital it ai,550000,100,0.04,0.5,0.32,550000,550000,550000,550000,550000,550000,550000,550000,673000,673000,673000,550000,9930.016058355117,0.6574143463958517,0.2727272727272727,0.9603449710788748,0.002998415817292074,0,-18.27637444279346,5.912482632345973
prosecution attorney,9900,14,2.29,17.52,27.96,6600,6600,6600,5400,8100,8100,8100,6600,12100,9900,18100,12100,802.5944517563562,0.7551571043472659,0.6363636363636364,1,0.04797169124151742,83.33333333333334,22.22222222222222,5.912408973287291
halloween decor,368000,100,0.24,1.82,1.18,823000,450000,246000,90500,60500,49500,40500,33100,40500,60500,165000,2240000,62596.386185064424,0.18743373829367616,0.18181818181818182,0.9125305820124344,0.006222663693140324,172.17496962332928,3602.479338842975,5.912191810101558
halloween decorations,368000,100,0.24,1.82,1.18,823000,450000,246000,90500,60500,49500,40500,33100,40500,60500,165000,2240000,62596.386185064424,0.18743373829367616,0.18181818181818182,0.9125305820124344,0.006222663693140324,172.17496962332928,3602.479338842975,5.912191810101558
gift subscriptions,9900,100,0.28,3.91,2.08,4400,4400,5400,5400,6600,4400,5400,4400,5400,40500,14800,6600,1432.1734599556437,0.5692658053865676,0.5454545454545454,0.8044467936860613,0.04793779823354344,50,-83.7037037037037,5.911054732332174
gift subscription,9900,100,0.28,3.91,2.08,4400,4400,5400,5400,6600,4400,5400,4400,5400,40500,14800,6600,1432.1734599556437,0.5692658053865676,0.5454545454545454,0.8044467936860613,0.04793779823354344,50,-83.7037037037037,5.911054732332174
congo rainforest trips,33100,100,0.17,2.76,1.33,27100,22200,22200,22200,22200,27100,40500,40500,40500,40500,40500,40500,1855.7368684528815,0.7725786647471236,0.6363636363636364,1,0.03076927376434582,49.44649446494465,0,5.910546242858109
travel wallet,33100,100,0.29,1.77,0.81,22200,27100,27100,27100,27100,27100,40500,27100,33100,40500,40500,33100,1205.0619611428504,0.9331589476413567,0.8181818181818182,0.9761642452659625,0.03076905606098405,49.0990990990991,-18.271604938271604,5.910536403040621
teeth cleaning,246000,81,0.07,3.16,2.85,201000,201000,201000,201000,246000,201000,246000,201000,246000,246000,246000,246000,4195.138229113364,0.9138526710508698,0.5454545454545454,1,0.009636369248659316,22.388059701492537,0,5.910425519979468
potato seeds online,6600,100,0.21,1.38,0.92,4400,4400,3600,4400,5400,5400,5400,5400,8100,9900,12100,6600,570.4818308735589,0.7948389790189277,0.7272727272727273,0.9254727194465571,0.05473760713694308,50,-33.33333333333333,5.910270889401711
mens ascot,6600,100,0.21,1.38,0.92,4400,4400,3600,4400,5400,5400,5400,5400,8100,9900,12100,6600,570.4818308735589,0.7948389790189277,0.7272727272727273,0.9254727194465571,0.05473760713694308,50,-33.33333333333333,5.910270889401711
industrial design firm,5400,14,0.21,7.54,4.36,4400,2400,4400,4400,3600,5400,4400,6600,4400,8100,8100,9900,506.51433923497564,0.7655958397759358,0.7272727272727273,1,0.058342350623153544,125,22.22222222222222,5.9099600138155886
partner anniversary gift,22200,27,0.02,3.97,2.97,14800,9900,14800,18100,8100,6600,8100,5400,18100,74000,22200,40500,3325.3672561595904,0.3937659650923794,0.45454545454545453,1,0.035967255388193425,173.64864864864865,-45.27027027027027,5.909616848843641
multi factor authentication,368000,15,0.36,5.56,2.88,301000,301000,301000,301000,368000,450000,368000,301000,301000,301000,450000,450000,7886.820970597501,0.5763660513103137,0.45454545454545453,1,0.006174024594438701,49.501661129568106,49.501661129568106,5.909484631887451
queen mattress,246000,100,0.98,5.66,4.15,201000,246000,246000,246000,246000,201000,246000,201000,246000,246000,301000,301000,5999.550659975901,0.4607823586164004,0.8181818181818182,1,0.009616448411400703,49.75124378109453,22.35772357723577,5.909351600570065
sportsman supplies,14800,100,0.36,1.95,2.33,9900,12100,12100,12100,14800,14800,14800,14800,18100,12100,22200,18100,653.8403148680848,0.9521262375262651,0.9090909090909091,1,0.04168896124077471,82.82828282828282,49.586776859504134,5.908800505564828
championship rings,14800,100,0.36,1.95,2.33,9900,12100,12100,12100,14800,14800,14800,14800,18100,12100,22200,18100,653.8403148680848,0.9521262375262651,0.9090909090909091,1,0.04168896124077471,82.82828282828282,49.586776859504134,5.908800505564828
warehouse management software,33100,7,0.17,1.52,4.03,27100,8100,14800,14800,27100,74000,49500,22200,40500,49500,60500,40500,2605.452745434499,0.7110777100996293,0.5454545454545454,0.9584147301655481,0.030724437523838615,49.44649446494465,-18.181818181818183,5.908519721908308
business intelligence,135000,21,0.29,3.61,2.14,135000,110000,110000,110000,135000,135000,135000,135000,135000,135000,165000,201000,5249.453604639392,0.5163050612509996,0.7272727272727273,1,0.015167977004691463,48.888888888888886,48.888888888888886,5.9085016147642495
safety community platform,27100,58,0.38,2.86,1.53,22200,18100,18100,18100,22200,27100,33100,33100,33100,33100,33100,33100,1372.7190930722686,0.833211667996392,0.7272727272727273,1,0.03327944992751854,49.0990990990991,0,5.908237086333227
raise capital online,260,15,3.09,33.22,32.06,90,70,30,70,90,140,140,70,720,50,590,720,52.613653733393356,0.7018344239755238,0.6363636363636364,1,0.14463386417338484,700,1340,5.907842619898374
remote workers,165000,39,0.06,1.45,1.56,165000,135000,165000,135000,165000,165000,201000,201000,201000,165000,201000,201000,4146.420963472472,0.740149363370648,0.7272727272727273,1,0.013228523179013279,21.818181818181817,21.818181818181817,5.90768001713554
remote work,165000,39,0.06,1.45,1.56,165000,135000,165000,135000,165000,165000,201000,201000,201000,165000,201000,201000,4146.420963472472,0.740149363370648,0.7272727272727273,1,0.013228523179013279,21.818181818181817,21.818181818181817,5.90768001713554
simple living,49500,17,0.11,1.6,1.05,33100,33100,33100,33100,49500,40500,33100,27100,40500,60500,40500,135000,4765.201731445474,0.4728192167991193,0.45454545454545453,1,0.025833611393104826,307.8549848942598,123.14049586776858,5.907391262466562
department store,550000,7,0.24,0.98,0.64,673000,301000,301000,368000,368000,368000,368000,368000,823000,1220000,673000,550000,45019.071738579085,0.19520649689624703,0.18181818181818182,0.9082094910630977,0.002905155017631563,-18.27637444279346,-54.91803278688525,5.9071291241983355
gaming keyboard,246000,100,0.13,1.37,0.5,201000,246000,246000,201000,201000,201000,201000,201000,246000,368000,368000,246000,11981.799402266737,0.42941557804827446,0.45454545454545453,0.9486248424119237,0.009569804829332415,22.388059701492537,-33.15217391304348,5.906837075329134
led bulbs,201000,100,0.03,1.29,0.34,135000,135000,165000,110000,135000,135000,450000,201000,246000,165000,201000,246000,6298.305190387909,0.6433280707075733,0.5454545454545454,0.9250617392899976,0.011382076120582492,82.22222222222221,49.09090909090909,5.906809869499818
led bulb,201000,100,0.03,1.29,0.34,135000,135000,165000,110000,135000,135000,450000,201000,246000,165000,201000,246000,6298.305190387909,0.6433280707075733,0.5454545454545454,0.9250617392899976,0.011382076120582492,82.22222222222221,49.09090909090909,5.906809869499818
campus internship program,90500,100,0.09,1.34,0.73,74000,74000,90500,74000,74000,90500,110000,90500,110000,110000,135000,90500,3677.0562351753065,0.896243796067677,0.5454545454545454,0.9431534510208435,0.01915712755731114,22.2972972972973,-17.727272727272727,5.906200070091194
gold locket,49500,100,0.39,2.83,1.35,40500,49500,40500,40500,49500,40500,49500,49500,49500,74000,60500,60500,2221.2435994340067,0.7598624796687947,0.7272727272727273,1,0.025801817823912013,49.382716049382715,-18.243243243243242,5.90589867991431
app design ai,60500,100,0.32,1.64,1.3,40500,40500,40500,74000,60500,40500,33100,33100,60500,90500,110000,74000,4841.026705556696,0.5623830655314248,0.45454545454545453,0.9930677961244108,0.023508417847048796,82.71604938271605,-18.23204419889503,5.905870408549485
event centre hire,27100,15,0.39,19.88,10.16,22200,18100,22200,22200,22200,27100,27100,27100,33100,27100,33100,33100,1105.0672121372913,0.9030500289572647,0.8181818181818182,1,0.033225742887806164,49.0990990990991,22.14022140221402,5.90585626975574
lee denim jacket,8100,100,0.11,1.6,0.67,6600,5400,4400,5400,6600,6600,8100,8100,12100,14800,12100,9900,723.1774762608723,0.7499220707798506,0.7272727272727273,0.9683737003321873,0.051092061236913885,50,-33.108108108108105,5.905410578159735
trek hiking shoes,8100,100,0.11,1.6,0.67,6600,5400,4400,5400,6600,6600,8100,8100,12100,14800,12100,9900,723.1774762608723,0.7499220707798506,0.7272727272727273,0.9683737003321873,0.051092061236913885,50,-33.108108108108105,5.905410578159735
design governance tool,880,63,0.12,2.56,1.75,480,390,320,390,390,480,480,1300,2400,880,1600,1600,132.8234677927108,0.749150280485367,0.7272727272727273,1,0.10055820571366522,233.33333333333334,81.81818181818183,5.905401614814163
buy chips online,880,63,0.12,2.56,1.75,480,390,320,390,390,480,480,1300,2400,880,1600,1600,132.8234677927108,0.749150280485367,0.7272727272727273,1,0.10055820571366522,233.33333333333334,81.81818181818183,5.905401614814163
hazel shower curtain,110000,100,0.2,2.92,0.73,90500,110000,110000,110000,110000,110000,135000,110000,165000,165000,135000,110000,3408.198481859419,0.8717434506366579,0.7272727272727273,0.9232128087580429,0.017137223479470474,21.54696132596685,-33.33333333333333,5.905347416091467
intake tracking app,27100,0,0.06,1.42,1.51,27100,22200,14800,18100,27100,27100,27100,33100,40500,33100,40500,40500,1906.2634004670329,0.6451289027477348,0.7272727272727273,1,0.0332078098141561,49.44649446494465,22.356495468277945,5.905061302107923
ar scavenger hunt,2400,100,0.24,1.55,0.83,720,590,390,390,390,390,720,2900,6600,8100,5400,1600,528.1529326540301,0.6873069850086029,0.45454545454545453,0.7972050294951778,0.07468265000780942,122.22222222222223,-80.24691358024691,5.904642572883714
ai for emr,14800,100,1.08,5,5.17,12100,12100,9900,12100,12100,12100,14800,9900,14800,14800,22200,40500,1653.8204713259652,0.4633496928441251,0.7272727272727273,1,0.041571133190312755,234.7107438016529,173.64864864864865,5.903886767486417
defense export,22200,100,0.16,1.35,0.5,18100,18100,18100,18100,22200,22200,22200,22200,27100,27100,33100,27100,1152.5675035928691,0.9141374556376928,0.7272727272727273,1,0.03583427955288856,49.72375690607735,0,5.903837249670568
credit scoring,673000,62,0.05,3.45,1.66,673000,673000,673000,673000,673000,673000,823000,673000,673000,673000,673000,1000000,11517.177942907438,0.42951704747099373,0.18181818181818182,1,0.0012979469102149992,48.588410104011885,48.588410104011885,5.903659605676937
credit score,673000,62,0.05,3.45,1.66,673000,673000,673000,673000,673000,673000,823000,673000,673000,673000,673000,1000000,11517.177942907438,0.42951704747099373,0.18181818181818182,1,0.0012979469102149992,48.588410104011885,48.588410104011885,5.903659605676937
oxygen generator,22200,100,0.04,1.92,1.5,14800,14800,14800,22200,12100,12100,18100,18100,40500,40500,33100,22200,1984.5032186388742,0.7070949992206752,0.5454545454545454,0.9186759900666301,0.03582320213663991,50,-45.18518518518518,5.903355786059953
career coaching program,2400,9,0.01,1.87,0.39,880,480,210,260,1000,2900,590,2900,8100,5400,5400,1600,430.32077848734207,0.7698094935048263,0.5454545454545454,0.8020399315732724,0.07462874119554075,81.81818181818183,-70.37037037037037,5.902820341151135
whipped cream,673000,91,0.02,0.19,0.17,550000,673000,673000,673000,823000,673000,823000,673000,673000,823000,673000,673000,2689.979461485337,0.6263267303346007,0.5454545454545454,0.952261216076369,0.0012765738192661166,22.363636363636363,-18.226002430133658,5.902413978716745
whipping cream,673000,91,0.02,0.19,0.17,550000,673000,673000,673000,823000,673000,823000,673000,673000,823000,673000,673000,2689.979461485337,0.6263267303346007,0.5454545454545454,0.952261216076369,0.0012765738192661166,22.363636363636363,-18.226002430133658,5.902413978716745
parking lot striping,12100,51,0.57,22.88,16.32,9900,9900,9900,8100,9900,12100,12100,12100,18100,14800,18100,18100,875.2921778143586,0.813011442650742,0.7272727272727273,1,0.044561976369032315,82.82828282828282,22.2972972972973,5.902155222235175
automation workflow tool,110000,42,0.67,6.77,6.17,90500,74000,74000,74000,90500,110000,135000,110000,135000,110000,110000,135000,3896.932577249605,0.7836564246611857,0.5454545454545454,1,0.01705647872755614,49.171270718232044,22.727272727272727,5.901276756074809
traffic obfuscation,49500,100,0.3,1.82,1.03,40500,49500,40500,40500,40500,40500,49500,49500,60500,60500,60500,74000,2678.8312233016704,0.7098363996129747,0.6363636363636364,1,0.025698551884032896,82.71604938271605,22.31404958677686,5.901050751732017
supply chain,246000,11,0.32,2.71,2.59,246000,201000,201000,201000,246000,301000,301000,246000,301000,246000,301000,301000,6356.2614832659265,0.6758018802321252,0.5454545454545454,1,0.009456752658458696,22.35772357723577,22.35772357723577,5.900742506160161
sample packs,27100,69,0.11,2.26,2.66,18100,18100,18100,18100,18100,18100,22200,18100,22200,33100,33100,60500,2706.473161123035,0.5719143607290523,0.45454545454545453,1,0.03310935533267744,234.2541436464088,82.77945619335347,5.900696845178484
rfp tool,9900,100,0.83,2.93,3.19,8100,5400,4400,4400,6600,6600,6600,8100,9900,18100,18100,12100,1117.1088175436903,0.5410851671525714,0.6363636363636364,0.9759322366789022,0.047674815426170504,49.382716049382715,-33.14917127071823,5.90054689872504
trade finance,33100,13,0.37,9.47,5.51,22200,18100,27100,22200,22200,33100,40500,33100,33100,40500,33100,40500,1462.217047874407,0.9186938854614631,0.6363636363636364,1,0.030535791499192742,82.43243243243244,0,5.899993246077218
smart switcher,673000,52,0.04,0.52,0.47,550000,673000,673000,550000,673000,550000,550000,550000,673000,673000,673000,673000,7857.399977763049,0.15052944643592303,0.6363636363636364,1,0.001229867993877159,22.363636363636363,0,5.899691956177207
endo trial,673000,52,0.04,0.52,0.47,550000,673000,673000,550000,673000,550000,550000,550000,673000,673000,673000,673000,7857.399977763049,0.15052944643592303,0.6363636363636364,1,0.001229867993877159,22.363636363636363,0,5.899691956177207
11th birthday gifts,135000,97,0.02,0.6,0.34,135000,110000,110000,110000,135000,110000,135000,135000,165000,165000,165000,165000,5410.093306039245,0.5686931835498545,0.6363636363636364,1,0.014990403898005964,22.22222222222222,0,5.899391521708198
premium tonic water,135000,97,0.02,0.6,0.34,135000,110000,110000,110000,135000,110000,135000,135000,165000,165000,165000,165000,5410.093306039245,0.5686931835498545,0.6363636363636364,1,0.014990403898005964,22.22222222222222,0,5.899391521708198
women tax planning,14800,91,0.04,0.5,0.24,9900,9900,9900,9900,12100,14800,14800,12100,18100,22200,22200,18100,1107.8980837341617,0.8973370626996806,0.5454545454545454,0.994204320486077,0.041461595006619105,82.82828282828282,-18.46846846846847,5.899318738548101
background images,673000,1,0.04,0.99,0.9,673000,673000,673000,673000,673000,673000,673000,673000,823000,673000,673000,823000,7807.389921105828,0.5910442434652967,0.18181818181818182,1,0.0012219836176477557,22.288261515601786,22.288261515601786,5.8992324535428375
healthcare automation,673000,10,0.39,6.15,2.75,673000,673000,673000,673000,673000,673000,673000,673000,823000,673000,673000,823000,7807.389921105828,0.5910442434652967,0.18181818181818182,1,0.0012219836176477557,22.288261515601786,22.288261515601786,5.8992324535428375
transport management system,673000,10,0.39,6.15,2.75,673000,673000,673000,673000,673000,673000,673000,673000,823000,673000,673000,823000,7807.389921105828,0.5910442434652967,0.18181818181818182,1,0.0012219836176477557,22.288261515601786,22.288261515601786,5.8992324535428375
business development,135000,7,0.13,3.43,2.64,110000,90500,90500,90500,110000,110000,135000,110000,201000,165000,135000,135000,5560.6031676496095,0.7225435242413563,0.45454545454545453,0.9553998408889258,0.014986579909621342,22.727272727272727,-18.181818181818183,5.899195338340799
maternity pantyhose,12100,100,0.37,2.19,1.05,12100,6600,5400,5400,6600,6600,9900,9900,14800,18100,22200,22200,1567.5042014475498,0.3913219966396526,0.7272727272727273,1,0.04446107195832678,83.47107438016529,22.65193370165746,5.898035511716885
iris seeds price,301000,100,0.12,2.32,1.81,301000,301000,246000,301000,301000,368000,301000,301000,368000,301000,368000,368000,6260.463056738348,0.6934576668943451,0.5454545454545454,1,0.007644101082074401,22.259136212624583,22.259136212624583,5.897353656365698
base revenue software,33100,100,0.23,2,0.78,27100,27100,27100,27100,33100,33100,40500,40500,49500,40500,49500,40500,1769.097212612508,0.9279155284328929,0.6363636363636364,0.9816382027330304,0.030469456107598946,49.44649446494465,0,5.8969950004781815
roi,673000,2,0.03,0.44,0.67,673000,550000,673000,673000,673000,673000,673000,673000,673000,673000,673000,673000,2369.2367194665167,0.3620163546758792,0.9090909090909091,0.9984294748843546,0.001183140184048548,0,0,5.896968652381213
wrestling gear,5400,39,0.35,8.72,10.28,4400,2900,3600,2400,2400,2900,4400,3600,9900,5400,12100,9900,765.16247422702,0.5327698843395259,0.6363636363636364,1,0.05798194353205798,125,83.33333333333334,5.896508202037578
root cause analysis,22200,100,0.18,1.04,0.59,14800,22200,22200,18100,18100,18100,22200,22200,33100,40500,33100,27100,1644.223107619495,0.7832557242627898,0.6363636363636364,0.9655107957764392,0.03564996876178532,83.1081081081081,-33.086419753086425,5.895826452119219
forklift for sale,301000,73,0.96,5.22,3.75,246000,246000,301000,246000,246000,246000,301000,246000,301000,301000,301000,301000,5049.861347904835,0.7366812631737855,0.5454545454545454,1,0.007615520885308274,22.35772357723577,0,5.895787871281295
affinity designer buy,720,56,0.45,2.18,1.74,260,390,480,480,390,720,390,260,720,1300,1600,1300,108.52450629984715,0.7433077539126368,0.7272727272727273,1,0.10632313783451504,400,0,5.895338065002275
customer support,550000,94,0.67,3.53,0.83,550000,550000,550000,550000,550000,550000,673000,550000,550000,550000,673000,673000,8695.865561207625,0.6455767165853563,0.2727272727272727,1,0.002695482198675912,22.363636363636363,22.363636363636363,5.895093143928995
oled tv,368000,100,0.14,0.84,0.59,368000,368000,368000,246000,301000,301000,301000,301000,450000,450000,823000,450000,30039.029808256648,0.2754930703995282,0.2727272727272727,0.9609724096380462,0.005914931721769284,22.282608695652172,0,5.8950639168856425
oled television,368000,100,0.14,0.84,0.59,368000,368000,368000,246000,301000,301000,301000,301000,450000,450000,823000,450000,30039.029808256648,0.2754930703995282,0.2727272727272727,0.9609724096380462,0.005914931721769284,22.282608695652172,0,5.8950639168856425
tv mount,246000,100,0.36,2.65,1.68,201000,246000,201000,165000,201000,165000,246000,201000,246000,301000,301000,246000,9089.708799714776,0.4172662334860767,0.5454545454545454,0.9826478843578886,0.009342074672724732,22.388059701492537,-18.272425249169437,5.894560290367109
tv mounting,246000,100,0.36,2.65,1.68,201000,246000,201000,165000,201000,165000,246000,201000,246000,301000,301000,246000,9089.708799714776,0.4172662334860767,0.5454545454545454,0.9826478843578886,0.009342074672724732,22.388059701492537,-18.272425249169437,5.894560290367109
clinic appointment ai,9900,100,0.2,0.8,0.47,6600,5400,4400,4400,4400,4400,5400,12100,18100,14800,33100,8100,1691.9074825467867,0.6209020218514529,0.45454545454545453,0.8298580506703523,0.04752274609921773,22.727272727272727,-45.27027027027027,5.894470763177127
usb nightstand,3600,93,0.43,2.07,1.3,880,880,880,880,880,880,1000,880,1900,12100,18100,1300,1034.762474018319,0.5513672366639305,0.36363636363636365,0.7411641042526022,0.06572247973943614,47.72727272727273,-89.25619834710744,5.893592691307129
womens stockings,60500,100,0.28,2.29,1.28,40500,40500,40500,40500,40500,40500,49500,40500,60500,110000,90500,60500,4902.854143851741,0.6779226017067058,0.36363636363636365,0.9433224872510467,0.023236414676667975,49.382716049382715,-45,5.892863882330574
destination bonsai tree,60500,100,0.28,2.29,1.28,40500,40500,40500,40500,40500,40500,49500,40500,60500,110000,90500,60500,4902.854143851741,0.6779226017067058,0.36363636363636365,0.9433224872510467,0.023236414676667975,49.382716049382715,-45,5.892863882330574
heartthrob collectibles,246000,9,0.26,4.46,34.38,165000,246000,301000,246000,246000,246000,246000,201000,368000,368000,246000,301000,7728.132238362596,0.6935909023230782,0.45454545454545453,0.956977099385556,0.009289156323725352,82.42424242424242,-18.206521739130434,5.891707496512804
buy antique furniture,1300,100,0.29,2,0.9,480,480,480,480,480,720,720,720,590,2900,8100,1900,426.51505645634757,0.5549662846896279,0.45454545454545453,0.8656776648808812,0.08920297451067431,295.83333333333337,-34.48275862068966,5.891673447141942
electric lift,27100,100,0.06,0.69,0.86,18100,14800,12100,12100,18100,49500,40500,33100,40500,33100,27100,49500,1922.9031683049639,0.7971489773338356,0.5454545454545454,1,0.032894759562883964,173.48066298342542,49.546827794561935,5.891183880604023
pet friendly accommodation,33100,50,0.48,1.5,1.57,22200,22200,27100,22200,22200,40500,40500,33100,40500,49500,33100,40500,1616.4684361962602,0.913742531614968,0.6363636363636364,0.9713372571853776,0.030337545345455293,82.43243243243244,-18.181818181818183,5.89103286092401
user feedback synthesis,110000,2,0.04,2.88,2.86,90500,90500,90500,90500,110000,110000,110000,110000,110000,110000,110000,135000,2513.8130864559976,0.9318732941747307,0.7272727272727273,1,0.016852878667333017,49.171270718232044,22.727272727272727,5.891012477531744
card printing,40500,100,0.6,4.54,3.34,33100,33100,33100,33100,40500,40500,40500,40500,40500,49500,49500,49500,1547.540144704473,0.9404206115922141,0.7272727272727273,1,0.027853288904122298,49.546827794561935,0,5.890782781958145
conflict management,40500,5,0.02,1.45,1.95,33100,33100,33100,33100,40500,40500,40500,40500,40500,49500,49500,49500,1547.540144704473,0.9404206115922141,0.7272727272727273,1,0.027853288904122298,49.546827794561935,0,5.890782781958145
womens wristwatch,40500,100,0.01,0.39,0.26,33100,40500,40500,40500,40500,40500,40500,49500,49500,49500,49500,49500,1235.7721931641793,0.9377869510409521,1,1,0.02785117743911765,49.546827794561935,0,5.890685497157724
gifts for daughter,18100,100,0.18,1.01,1.14,14800,9900,9900,12100,12100,9900,12100,12100,12100,60500,33100,14800,2355.0511800232593,0.46720607555986615,0.6363636363636364,0.8524445125556979,0.03835191064788647,0,-75.53719008264463,5.89057965757722
daughter gifts,18100,100,0.18,1.01,1.14,14800,9900,9900,12100,12100,9900,12100,12100,12100,60500,33100,14800,2355.0511800232593,0.46720607555986615,0.6363636363636364,0.8524445125556979,0.03835191064788647,0,-75.53719008264463,5.89057965757722
gift for daughter,18100,100,0.18,1.01,1.14,14800,9900,9900,12100,12100,9900,12100,12100,12100,60500,33100,14800,2355.0511800232593,0.46720607555986615,0.6363636363636364,0.8524445125556979,0.03835191064788647,0,-75.53719008264463,5.89057965757722
farm market access,450000,100,0.04,0.66,0.59,450000,450000,368000,368000,368000,368000,368000,368000,450000,550000,673000,673000,27121.09085642783,0.18141066730037603,0.36363636363636365,1,0.004177229459999323,49.55555555555556,22.363636363636363,5.889360172337136
zipper repair,33100,100,0.1,0.65,0.4,22200,22200,22200,22200,27100,27100,33100,40500,49500,49500,40500,33100,2009.923142299136,0.8715581975293967,0.5454545454545454,0.9380354165512764,0.030296655853468107,49.0990990990991,-33.131313131313135,5.88918472621866
electroacupuncture,110000,100,0.35,3.02,1.78,90500,110000,90500,90500,90500,110000,110000,135000,201000,165000,135000,110000,5182.011519436042,0.7444320539386536,0.5454545454545454,0.9032773174231322,0.016816369886701106,21.54696132596685,-33.33333333333333,5.889171926535525
rent rewards,5400,2,1,22.4,13.01,3600,3600,4400,4400,4400,5400,5400,4400,5400,5400,5400,14800,498.7885296933659,0.6732343679465882,0.8181818181818182,1,0.05776610270652399,311.11111111111114,174.07407407407408,5.888452172534197
venture capital firms,27100,20,1.18,11.24,7.29,18100,22200,22200,22200,27100,27100,27100,27100,33100,27100,40500,27100,1087.404113949188,0.964775092656903,0.8181818181818182,0.9554250036024917,0.03282807250432818,49.72375690607735,0,5.888227663777258
ribbon gift wrap,18100,100,0.07,1.09,0.54,12100,12100,9900,12100,12100,12100,12100,14800,14800,74000,22200,14800,2303.7872436174393,0.549889177256583,0.6363636363636364,0.7699634953345978,0.038283505576007196,22.31404958677686,-80,5.887667189487693
lash extensions,246000,91,0.65,3.86,2.13,165000,201000,201000,201000,201000,246000,301000,368000,246000,246000,246000,246000,4575.258118864584,0.7975682074756169,0.6363636363636364,0.9003799929105932,0.009209295776386558,49.09090909090909,0,5.887402266229591
alan speed trainer,14800,100,1.27,5.6,3.92,8100,8100,8100,8100,9900,9900,8100,6600,9900,12100,12100,60500,2301.294367824156,0.3326386343710186,0.5454545454545454,1,0.041170099416587155,646.9135802469136,400,5.8871626095549345
heater price,33100,96,0.01,0.36,0.08,18100,18100,22200,18100,18100,14800,14800,18100,90500,110000,49500,27100,5082.45377617668,0.6117706203541864,0.36363636363636365,0.787656866372631,0.03023546864818737,49.72375690607735,-75.36363636363636,5.886419169785773
knowledge management,40500,6,0.15,8.94,4.08,33100,27100,33100,40500,40500,40500,40500,40500,40500,40500,49500,49500,1273.506237753346,0.8978064540689448,0.9090909090909091,1,0.027744779507939063,49.546827794561935,22.22222222222222,5.885783260333041
golf club deals,5400,100,0.17,1.13,1.07,2900,3600,3600,3600,3600,3600,2900,1900,2900,12100,22200,2900,971.5911104263245,0.4746104903998589,0.7272727272727273,0.7776829668850405,0.057678600864105686,0,-76.03305785123968,5.885186259228047
hearing mapping device,301000,43,0.08,1.29,1,246000,246000,246000,246000,246000,246000,301000,301000,301000,246000,246000,450000,8229.869822372237,0.6516728646985708,0.36363636363636365,1,0.0074151071502922715,82.92682926829268,82.92682926829268,5.884808071542139
fur scarf,9900,100,0.17,1.43,0.63,8100,5400,5400,5400,6600,6600,6600,9900,14800,22200,18100,9900,1167.5683139114167,0.6170389554948863,0.6363636363636364,0.8967754817567921,0.04727709330437341,22.22222222222222,-55.4054054054054,5.884655373649815
